respondent_id,city,production_context,fastener_category_of_interest,discovery_channel,first_look_interest_score_1_10,willing_to_preorder_before_general_release,lead_time_tolerance_days,typical_order_quantity_units,price_sensitivity_1_10,survey_wave
COST-2000,London,Couture/Fashion House,Decorative Buttons,Sales Rep In-Person Showing,10.0,Depends on price,28,2242,8,2026-Q2
COST-2001,Los Angeles,Themed Entertainment (parks/shows),Snap Fasteners,Trade Show First Look,8.2,No,77,2409,1,2026-Q2
COST-2002,New York City,Film/TV Wardrobe,Novelty/Costume-Specific Fasteners,Sales Rep In-Person Showing,8.9,Yes,40,780,5,2026-Q2
COST-2003,New York City,Independent Designer Studio,Vintage-Reproduction Hardware,Sales Rep In-Person Showing,8.5,Depends on price,21,1254,1,2026-Q2
COST-2004,London,Couture/Fashion House,Decorative Buttons,Sales Rep In-Person Showing,5.8,No,66,1052,6,2026-Q2
COST-2005,Paris,Independent Designer Studio,Functional Zippers,Referral from Other Designer,7.5,Yes,29,393,5,2026-Q2
COST-2006,Rome,Theatrical/Stage Production,Functional Zippers,Trade Show First Look,7.2,Yes,38,808,7,2026-Q2
COST-2007,Paris,Costume Rental House,Functional Zippers,Sales Rep In-Person Showing,5.6,No,34,50,7,2026-Q2
COST-2008,New York City,Costume Rental House,Hook-and-Eye Closures,Distributor Email Preview,6.0,Depends on price,44,213,5,2026-Q2
COST-2009,New York City,Themed Entertainment (parks/shows),Decorative Buttons,Sales Rep In-Person Showing,9.4,No,46,919,5,2026-Q2
COST-2010,Paris,Costume Rental House,Novelty/Costume-Specific Fasteners,Trade Show First Look,7.0,Yes,43,1000,8,2026-Q2
COST-2011,Los Angeles,Film/TV Wardrobe,Decorative Buttons,Distributor Email Preview,7.7,Depends on price,38,3519,7,2026-Q2
COST-2012,New York City,Independent Designer Studio,Snap Fasteners,Distributor Email Preview,8.1,No,46,346,3,2026-Q2
COST-2013,Paris,Burlesque/Cabaret Production,Novelty/Costume-Specific Fasteners,Online B2B Catalog Early Access,6.7,Depends on price,33,1336,6,2026-Q2
COST-2014,London,Film/TV Wardrobe,Functional Zippers,Referral from Other Designer,8.2,Depends on price,20,92,7,2026-Q2
COST-2015,Los Angeles,Opera/Ballet Wardrobe Department,Novelty/Costume-Specific Fasteners,Trade Show First Look,9.2,Depends on price,39,162,6,2026-Q2
COST-2016,Rome,Opera/Ballet Wardrobe Department,Functional Zippers,Trade Show First Look,8.6,Yes,33,2450,7,2026-Q2
COST-2017,Los Angeles,Independent Designer Studio,Decorative Buttons,Trade Show First Look,6.6,No,14,973,2,2026-Q2
COST-2018,London,Theatrical/Stage Production,Novelty/Costume-Specific Fasteners,Sales Rep In-Person Showing,6.7,No,19,489,8,2026-Q2
COST-2019,Los Angeles,Opera/Ballet Wardrobe Department,Decorative Buttons,Distributor Showroom Visit,8.4,Yes,59,764,7,2026-Q2
COST-2020,New York City,Theatrical/Stage Production,Vintage-Reproduction Hardware,Sales Rep In-Person Showing,10.0,Depends on price,34,895,6,2026-Q2
COST-2021,Los Angeles,Opera/Ballet Wardrobe Department,Snap Fasteners,Distributor Email Preview,9.0,Depends on price,34,750,6,2026-Q2
COST-2022,Los Angeles,Burlesque/Cabaret Production,Functional Zippers,Trade Show First Look,6.1,No,39,1625,5,2026-Q2
COST-2023,Los Angeles,Independent Designer Studio,Snap Fasteners,Distributor Email Preview,6.3,No,63,91,5,2026-Q2
COST-2024,Los Angeles,Film/TV Wardrobe,Hook-and-Eye Closures,Trade Show First Look,8.9,Depends on price,51,919,5,2026-Q2
COST-2025,Paris,Film/TV Wardrobe,Decorative Buttons,Distributor Showroom Visit,7.8,No,64,280,6,2026-Q2
COST-2026,Los Angeles,Independent Designer Studio,Novelty/Costume-Specific Fasteners,Online B2B Catalog Early Access,7.0,No,43,1011,8,2026-Q2
COST-2027,London,Themed Entertainment (parks/shows),Vintage-Reproduction Hardware,Sales Rep In-Person Showing,7.4,Depends on price,58,1851,8,2026-Q2
COST-2028,Paris,Opera/Ballet Wardrobe Department,Snap Fasteners,Distributor Email Preview,8.7,Depends on price,45,1495,7,2026-Q2
COST-2029,New York City,Costume Rental House,Novelty/Costume-Specific Fasteners,Distributor Email Preview,7.4,Yes,26,952,5,2026-Q2
COST-2030,Rome,Opera/Ballet Wardrobe Department,Vintage-Reproduction Hardware,Distributor Email Preview,6.8,Depends on price,32,2084,6,2026-Q2
COST-2031,Rome,Couture/Fashion House,Vintage-Reproduction Hardware,Distributor Email Preview,7.7,Depends on price,7,429,3,2026-Q2
COST-2032,Paris,Couture/Fashion House,Decorative Buttons,Distributor Showroom Visit,5.3,Depends on price,44,186,6,2026-Q2
