delivery_id,delivery_date,destination_city,customer_name,customer_id,product_type,quantity_lbs,price_per_lb,revenue,temp_at_delivery_f,required_temp_f,temp_compliance,driver_name,distance_miles,fuel_cost,on_time_delivery
DEL-1000,2024-11-23,Oklahoma City,Gulf Coast Seafood Dist.,,Cod Fillet,160.2,5.52,,29.4,34.0,PASS,K. Williams,129,54.18,Yes
DEL-1001,2024-01-17,Oklahoma City,Sooner Seafood Co.,CUST-128,Catfish Fillet,154.7,12.23,1891.98,35.9,34.0,FAIL,K. Williams,299,125.58,Yes
DEL-1002,2024-05-22,Oklahoma City,Red Plains Fish Market,CUST-111,Tuna Steak,203.1,5.75,1167.83,41.4,34.0,FAIL,R. Thompson,137,57.54,Yes
DEL-1003,2024-07-02,Tulsa,Heartland Fish Co.,CUST-170,Cod Fillet,413.2,14.08,5817.86,35.5,34.0,FAIL,L. Davis,125,52.5,Yes
DEL-1004,2024-11-17,Wichita,Prairie Seafood LLC,CUST-129,Catfish Fillet,367.1,4.16,1527.14,31.2,34.0,PASS,R. Thompson,125,52.5,Yes
DEL-1005,2024-07-13,Tulsa,Midwest Ocean Market,CUST-168,Mahi Mahi,123.2,8.65,1065.68,37.4,34.0,FAIL,J. Hernandez,172,72.24,Yes
DEL-1006,2024-03-24,Tulsa,Wichita Fresh Catch,CUST-129,Cod Fillet,495.3,12.78,6329.93,35.8,34.0,FAIL,R. Thompson,113,47.46,Yes
DEL-1007,2024-06-10,Tulsa,Central Fish Supply,CUST-183,Gulf Shrimp,144.9,17.17,2487.93,40.3,34.0,FAIL,R. Thompson,193,81.06,Yes
DEL-1008,2024-11-25,Tulsa,Red Plains Fish Market,CUST-174,Cod Fillet,112.8,14.3,1613.04,35.5,34.0,FAIL,K. Williams,304,127.68,Yes
DEL-1009,2024-04-22,Oklahoma City,Route 66 Seafood,CUST-176,Crawfish Tails,90.9,4.18,379.96,29.5,34.0,PASS,M. Patel,301,126.42,No
DEL-1010,2024-07-14,Wichita,Midwest Ocean Market,CUST-198,Cod Fillet,487.0,15.98,7782.26,28.2,34.0,PASS,J. Hernandez,221,92.82,Yes
DEL-1011,2024-02-27,Tulsa,Wichita Fresh Catch,CUST-164,Tilapia Fillet,254.2,17.33,4405.29,40.3,34.0,FAIL,R. Thompson,176,73.92,Yes
DEL-1012,2024-11-16,Tulsa,Route 66 Seafood,CUST-176,Catfish Fillet,118.8,14.56,1729.73,35.6,34.0,FAIL,K. Williams,85,35.7,Yes
DEL-1013,2024-01-10,Oklahoma City,Prairie Seafood LLC,CUST-193,Cod Fillet,157.8,6.99,1103.02,35.9,34.0,FAIL,J. Hernandez,128,53.76,Yes
DEL-1014,2024-02-05,Wichita,Red Plains Fish Market,CUST-127,Tilapia Fillet,346.9,17.23,5977.09,30.3,34.0,PASS,K. Williams,301,126.42,Yes
DEL-1015,2024-12-19,Oklahoma City,Central Fish Supply,CUST-115,Tuna Steak,497.8,12.92,,34.1,34.0,FAIL,K. Williams,316,132.72,Yes
