city,state,independent_coffee_shops_est,weekday_hours,weekend_hours,drive_thru_pct,wifi,remote_work_friendly,food_types,drink_types,merchandise,catering,late_night,featured_events,books_sold,periodicals,avg_google_rating,market_score
Oklahoma City,OK,104,6:00 AM - 8:00 PM,7:00 AM - 10:00 PM,21,Yes,Medium,"Paninis, Pastries, Bagels, Soups","Matcha, Cold Brew, Espresso, Smoothies","T-Shirts, Beans, Brewing Equipment",Yes,Yes,"Language Exchange, Board Games, None",Yes,Yes,4.3,80
Edmond,OK,169,6:00 AM - 11:00 PM,7:00 AM - 11:00 PM,18,Yes,High,"Soups, Bagels, Breakfast Sandwiches, Wraps","Espresso, Cold Brew, Pour Over, Matcha","Brewing Equipment, Local Art, Beans",No,No,"None, Language Exchange, Author Signing",Yes,Yes,4.2,81
Moore,OK,45,6:00 AM - 8:00 PM,7:00 AM - 11:00 PM,12,Yes,High,"Desserts, Wraps, Salads, Breakfast Sandwiches","Espresso, Hot Chocolate, Tea, Matcha","Beans, Local Art, T-Shirts",No,No,"None, Book Club, Live Acoustic Music",Yes,Yes,4.4,67
Midwest City,OK,93,6:00 AM - 9:00 PM,7:00 AM - 9:00 PM,6,Yes,Medium,"Paninis, Wraps, Salads, Soups","Smoothies, Cold Brew, Pour Over, Hot Chocolate","Brewing Equipment, Gift Cards, Local Art",Yes,Yes,"Poetry Reading, None, Book Club",No,No,4.2,91
Bethany,OK,143,6:00 AM - 8:00 PM,7:00 AM - 10:00 PM,8,Yes,Medium,"Soups, Paninis, Bagels, Desserts","Smoothies, Pour Over, Espresso, Cold Brew","Beans, Gift Cards, T-Shirts",No,No,"Board Games, Author Signing, Book Club",No,No,4.3,69
Yukon,OK,83,6:00 AM - 10:00 PM,7:00 AM - 10:00 PM,30,Yes,Medium,"Wraps, Salads, Soups, Bagels","Hot Chocolate, Matcha, Espresso, Tea","Mugs, Local Art, Gift Cards",Yes,No,"Author Signing, Board Games, Language Exchange",No,No,4.5,93
Del City,OK,34,6:00 AM - 10:00 PM,7:00 AM - 10:00 PM,8,Yes,Medium,"Salads, Soups, Breakfast Sandwiches, Bagels","Hot Chocolate, Smoothies, Matcha, Tea","Gift Cards, Brewing Equipment, T-Shirts",No,No,"Live Acoustic Music, Language Exchange, None",No,No,4.5,72
Warr Acres,OK,135,6:00 AM - 10:00 PM,7:00 AM - 11:00 PM,33,Yes,High,"Soups, Pastries, Desserts, Breakfast Sandwiches","Hot Chocolate, Matcha, Espresso, Tea","Local Art, Brewing Equipment, T-Shirts",Yes,Yes,"Live Acoustic Music, Board Games, Language Exchange",Yes,Yes,4.4,78
Nichols Hills,OK,103,6:00 AM - 9:00 PM,7:00 AM - 9:00 PM,21,Yes,Medium,"Pastries, Breakfast Sandwiches, Desserts, Soups","Espresso, Matcha, Tea, Pour Over","Gift Cards, Mugs, Beans",Yes,No,"Poetry Reading, Live Acoustic Music, Book Club",Yes,Yes,4.7,70
The Village,OK,62,6:00 AM - 9:00 PM,7:00 AM - 11:00 PM,21,Yes,High,"Bagels, Salads, Desserts, Breakfast Sandwiches","Cold Brew, Pour Over, Hot Chocolate, Tea","Brewing Equipment, Beans, T-Shirts",No,No,"Language Exchange, Open Mic, Book Club",No,No,4.3,79
