delivery_id,delivery_date,destination_city,customer_name,customer_id,product_type,quantity_lbs,price_per_lb,revenue,temp_at_delivery_f,required_temp_f,temp_compliance,driver_name,distance_miles,fuel_cost,on_time_delivery
DEL-1000,2025-04-25,Oklahoma City,Central Fish Supply,,Catfish Fillet,150.4,14.18,,37.5,34.0,FAIL,K. Williams,129,54.18,Yes
DEL-1001,2025-02-02,Oklahoma City,Sooner Seafood Co.,CUST-128,Catfish Fillet,154.7,12.23,1891.98,35.9,34.0,FAIL,K. Williams,299,125.58,Yes
DEL-1002,2025-10-12,Oklahoma City,Red Plains Fish Market,CUST-111,Tuna Steak,203.1,5.75,1167.83,41.4,34.0,FAIL,R. Thompson,137,57.54,Yes
DEL-1003,2026-01-03,Tulsa,Heartland Fish Co.,CUST-170,Cod Fillet,413.2,14.08,5817.86,35.5,34.0,FAIL,L. Davis,125,52.5,Yes
DEL-1004,2026-01-06,Wichita,Tulsa Bay Imports,CUST-112,Gulf Shrimp,70.6,6.8,480.08,32.1,34.0,PASS,J. Hernandez,204,85.68,Yes
DEL-1005,2026-04-10,Wichita,Prairie Seafood LLC,CUST-168,Tilapia Fillet,216.6,6.54,1416.56,31.7,34.0,PASS,J. Hernandez,172,72.24,Yes
DEL-1006,2025-06-17,Tulsa,Wichita Fresh Catch,CUST-129,Cod Fillet,495.3,12.78,6329.93,35.8,34.0,FAIL,R. Thompson,113,47.46,Yes
DEL-1007,2025-11-20,Tulsa,Central Fish Supply,CUST-183,Gulf Shrimp,144.9,17.17,2487.93,40.3,34.0,FAIL,R. Thompson,193,81.06,Yes
DEL-1008,2026-04-15,Oklahoma City,Central Fish Supply,CUST-174,Tilapia Fillet,161.0,11.64,1874.04,31.7,34.0,PASS,K. Williams,304,127.68,Yes
DEL-1009,2025-08-13,Oklahoma City,Route 66 Seafood,CUST-176,Crawfish Tails,90.9,4.18,379.96,29.5,34.0,PASS,M. Patel,301,126.42,No
DEL-1010,2026-01-26,Wichita,Midwest Ocean Market,CUST-198,Cod Fillet,487.0,15.98,7782.26,28.2,34.0,PASS,J. Hernandez,221,92.82,Yes
DEL-1011,2025-04-25,Tulsa,Wichita Fresh Catch,CUST-164,Tilapia Fillet,254.2,17.33,4405.29,40.3,34.0,FAIL,R. Thompson,176,73.92,Yes
DEL-1012,2025-11-02,Wichita,Route 66 Seafood,CUST-176,Catfish Fillet,118.8,14.56,1729.73,35.6,34.0,FAIL,K. Williams,85,35.7,Yes
DEL-1013,2025-01-20,Oklahoma City,Prairie Seafood LLC,CUST-193,Cod Fillet,157.8,6.99,1103.02,35.9,34.0,FAIL,J. Hernandez,128,53.76,Yes
DEL-1014,2025-03-12,Wichita,Red Plains Fish Market,CUST-127,Tilapia Fillet,346.9,17.23,5977.09,30.3,34.0,PASS,K. Williams,301,126.42,Yes
DEL-1015,2025-07-25,Wichita,Central Fish Supply,CUST-115,Tuna Steak,497.8,12.92,,34.1,34.0,FAIL,K. Williams,316,132.72,Yes
DEL-1016,2025-03-07,Tulsa,Gulf Coast Seafood Dist.,CUST-108,Catfish Fillet,314.8,3.6,1133.28,37.9,34.0,FAIL,J. Hernandez,202,84.84,Yes
DEL-1017,2025-12-05,Oklahoma City,Route 66 Seafood,CUST-131,Catfish Fillet,175.3,10.54,1847.66,35.5,34.0,FAIL,K. Williams,327,137.34,Yes
DEL-1018,2026-02-21,Oklahoma City,Sooner Seafood Co.,CUST-107,Gulf Shrimp,346.5,8.64,2993.76,33.8,34.0,PASS,J. Hernandez,135,56.7,Yes
DEL-1019,2025-12-14,Oklahoma City,Tulsa Bay Imports,CUST-131,Catfish Fillet,135.6,10.0,1356.0,33.9,34.0,PASS,R. Thompson,321,134.82,Yes
DEL-1020,2025-03-19,Tulsa,Route 66 Seafood,,Gulf Shrimp,72.8,17.99,1309.67,39.7,34.0,FAIL,J. Hernandez,206,86.52,No
DEL-1021,2026-05-13,Tulsa,Tulsa Bay Imports,CUST-158,Tuna Steak,456.1,5.89,2686.43,28.0,34.0,PASS,L. Davis,220,92.4,Yes
DEL-1022,2026-05-14,Oklahoma City,Tulsa Bay Imports,CUST-107,Cod Fillet,148.0,4.35,643.8,38.3,34.0,FAIL,J. Hernandez,245,102.9,No
DEL-1023,2026-05-04,Wichita,Route 66 Seafood,CUST-186,Tilapia Fillet,75.6,10.86,821.02,39.9,34.0,FAIL,J. Hernandez,119,49.98,Yes
DEL-1024,2026-02-18,Oklahoma City,Heartland Fish Co.,CUST-133,Catfish Fillet,310.5,4.08,1266.84,29.1,34.0,PASS,K. Williams,246,103.32,Yes
DEL-1025,2025-11-18,Oklahoma City,Central Fish Supply,CUST-158,Tuna Steak,108.9,12.86,1400.45,34.4,34.0,FAIL,J. Hernandez,89,37.38,Yes
DEL-1026,2025-04-13,Oklahoma City,Route 66 Seafood,CUST-147,Catfish Fillet,277.6,5.42,1504.59,32.9,34.0,PASS,J. Hernandez,210,88.2,Yes
DEL-1027,2026-03-25,Wichita,Central Fish Supply,CUST-133,Atlantic Salmon,350.5,11.54,4044.77,41.0,34.0,FAIL,J. Hernandez,153,64.26,No
DEL-1028,2025-04-20,Wichita,Route 66 Seafood,CUST-164,Tilapia Fillet,172.6,12.27,2117.8,38.0,34.0,FAIL,M. Patel,220,92.4,Yes
DEL-1029,2025-02-22,Oklahoma City,Wichita Fresh Catch,CUST-194,Cod Fillet,69.8,8.34,582.13,29.8,34.0,PASS,R. Thompson,167,70.14,Yes
DEL-1030,2026-03-14,Wichita,Gulf Coast Seafood Dist.,CUST-147,Gulf Shrimp,83.9,16.31,,40.7,34.0,FAIL,K. Williams,103,43.26,Yes
DEL-1031,2025-06-01,Tulsa,Red Plains Fish Market,CUST-126,Atlantic Salmon,188.7,16.54,3121.1,39.1,34.0,FAIL,J. Hernandez,268,112.56,Yes
DEL-1032,2025-04-16,Tulsa,Route 66 Seafood,CUST-122,Tuna Steak,488.2,14.37,7015.43,41.0,34.0,FAIL,M. Patel,168,70.56,Yes
